Marketing Channels,Marketing  Types,Marketing Sub types,Rating
Online ads,Digital Marketing,Influencer Marketing,5
Online ads,Digital Marketing,Social Media Marketing,4
Online ads,Digital Marketing,Content Marketing,4
Online ads,Digital Marketing,Search Engine Marketing,3
Online ads,Digital Marketing,Email Marketing,3
Online ads,Digital Marketing,Online Advertising,3
Online ads,Digital Marketing,Search Engine Optimization,3
,Traditional Marketing,Event Marketing,4
,Traditional Marketing,Outdoor Advertising,3
,Traditional Marketing,Event Marketing,3
,Traditional Marketing,Event Marketing,3
,Traditional Marketing,Event Marketing,3
,Traditional Marketing,Affiliate Marketing,2
,Traditional Marketing,Print Media,2
TV commercials,Traditional Marketing,Broadcast Media,2
,Traditional Marketing,Telemarketing,1
,Traditional Marketing,Guerrilla Marketing,1
